Text#,Type,Issued,Title,Language,Authors,Subjects,LoCC,Bookshelves
223,Text,1995-02-01,The Wisdom of Father Brown,en,"Chesterton, G. K. (Gilbert Keith), 1874-1936","England -- Fiction; Clergy -- Fiction; Detective and mystery stories, English; Catholics -- Fiction; Brown, Father (Fictitious character) -- Fiction",PR,Detective Fiction
224,Text,2008-07-11,A Pair of Blue Eyes,en,"Hardy, Thomas, 1840-1928",Didactic fiction; Triangles (Interpersonal relations) -- Fiction; Wessex (England) -- Fiction; Separation (Psychology) -- Fiction; Elopement -- Fiction,PR,
225,Text,2008-07-11,At the Back of the North Wind,en,"MacDonald, George, 1824-1905",Fairy tales,PR; PZ,Children's Literature
226,Text,1995-03-01,Cicero's Orations,la,"Cicero, Marcus Tullius, 106 BCE-43 BCE","Speeches, addresses, etc., Latin; Rome -- History -- 53-44 B.C. -- Sources",PA,Classical Antiquity
227,Text,1995-03-01,Aeneidos,la,"Virgil, 70 BCE-19 BCE","Aeneas (Legendary character) -- Poetry; Legends -- Rome -- Poetry; Epic poetry, Latin",PA,Classical Antiquity; Best Books Ever Listings; Harvard Classics
228,Text,1995-03-01,The Aeneid,en,"Virgil, 70 BCE-19 BCE; Dryden, John, 1631-1700 [Translator]","Aeneas (Legendary character) -- Poetry; Legends -- Rome -- Poetry; Epic poetry, Latin -- Translations into English",PA,Classical Antiquity; Best Books Ever Listings; Poetry; Harvard Classics
229,Text,1995-03-01,The Bucolics and Eclogues,la,"Virgil, 70 BCE-19 BCE","Country life -- Rome -- Poetry; Pastoral poetry, Latin",PA,Classical Antiquity
230,Text,1995-03-01,The Bucolics and Eclogues,en,"Virgil, 70 BCE-19 BCE","Pastoral poetry, Latin -- Translations into English; Country life -- Rome -- Poetry",PA,Classical Antiquity
231,Text,1995-03-01,Georgicon,la,"Virgil, 70 BCE-19 BCE","Didactic poetry, Latin; Agriculture -- Poetry",PA,Classical Antiquity
232,Text,1995-03-01,The Georgics,en,"Virgil, 70 BCE-19 BCE; Rhoades, James, 1841-1923 [Translator]","Agriculture -- Poetry; Didactic poetry, Latin -- Translations into English",PA,
233,Text,1995-03-01,Sister Carrie: A Novel,en,"Dreiser, Theodore, 1871-1945",New York (N.Y.) -- Fiction; Didactic fiction; Young women -- Fiction; Chicago (Ill.) -- Fiction; Mistresses -- Fiction,PS,
234,Text,2008-07-02,Child Christopher and Goldilind the Fair,en,"Morris, William, 1834-1896",Fantasy fiction,PR,Fantasy
235,Text,1995-03-01,William Gibson Interviewed,en,"Salza, Giuseppe","Gibson, William, 1914-2008",PS,
236,Text,2006-01-16,The Jungle Book,en,"Kipling, Rudyard, 1865-1936","Short stories; Animals -- Fiction; Jungles -- Fiction; India -- Fiction; Jungle animals -- Fiction; Mowgli (Fictitious character) -- Fiction; Adventure stories, English; Feral children -- Fiction; India -- History -- 19th century -- Fiction",PR,Scouts; Children's Literature; Movie Books; Contemporary Reviews
237,Text,1995-03-01,Sexti Properti Elegiarvm: Liber Primvs,la,"Propertius, Sextus","Latin poetry; Rome -- Poetry; Man-woman relationships -- Poetry; Elegiac poetry, Latin; Love poetry, Latin",PA,
238,Text,2008-07-03,Dear Enemy,en,"Webster, Jean, 1876-1916",Orphans -- Fiction,PZ; PS,"Bestsellers, American, 1895-1923"
239,StillImage,1995-03-01,Radar Map of the United States,en,United States,United States -- Maps,G,
240,Text,1995-04-01,Stories from the Old Attic,en,"Harris, Robert A. (Robert Alan), 1950-",Fiction; Short stories; Fables,PS,
241,Text,2008-07-02,"Clotelle; Or, The Colored Heroine, a tale of the Southern States; Or, The President's Daughter",en,"Brown, William Wells, 1814?-1884","Children of presidents -- Fiction; Women slaves -- Fiction; Jefferson, Thomas, 1743-1826 -- Relations with women -- Fiction; Domestic fiction; Illegitimate children -- Fiction; African American women -- Fiction; African American families -- Fiction",PS,African American Writers
242,Text,2008-07-11,My Ántonia,en,"Cather, Willa, 1873-1947",Nebraska -- Fiction; Frontier and pioneer life -- Nebraska -- Fiction; Western stories; Domestic fiction; Friendship -- Fiction; Married women -- Fiction; Farm life -- Fiction; Women pioneers -- Fiction; Women immigrants -- Fiction; Farmers' spouses -- Fiction; Czech Americans -- Fiction,PS,
243,Text,2006-03-15,"The Forged Coupon, and Other Stories",en,"Tolstoy, Leo, graf, 1828-1910; Wright, C. T. Hagberg (Charles Theodore Hagberg), 1862-1940 [Editor]","Short stories, Russian -- Translations into English; Russian fiction -- Translations into English; Tolstoy, Leo, graf, 1828-1910 -- Translations into English",PG,
244,Text,1995-04-01,A Study in Scarlet,en,"Doyle, Arthur Conan, 1859-1930","Holmes, Sherlock (Fictitious character) -- Fiction; Private investigators -- England -- Fiction; Detective and mystery stories; England -- Fiction",PR,Detective Fiction
245,Text,2004-07-10,Life on the Mississippi,en,"Twain, Mark, 1835-1910","Mississippi River -- Description and travel; Mississippi River Valley -- Social life and customs -- 19th century; Authors, American -- 19th century -- Biography; Pilots and pilotage -- Mississippi River; Twain, Mark, 1835-1910 -- Travel -- Mississippi River",PS,
246,Text,1995-04-01,The Rubaiyat of Omar Khayyam,en,"Omar Khayyam, 1048-1122; FitzGerald, Edward, 1809-1883 [Translator]",Persian poetry -- Translations into English,PK,
247,Text,1995-04-01,Webster's Unabridged Dictionary (1st 100 Pages),en,"Webster, Noah, 1758-1843",English language -- Dictionaries,AG; PE,
248,Text,1995-04-01,Webster's Unabridged Dictionary (2nd 100 Pages),en,"Webster, Noah, 1758-1843",English language -- Dictionaries,AG; PE,
249,Text,1995-04-01,French Cave Paintings,en,,"Cave paintings -- France -- Vallon-Pont-d'Arc; Art, Prehistoric -- France -- Vallon-Pont-d'Arc; Chauvet Cave (France)",N,
250,Text,1995-04-01,"A Brief History of the Internet
The Bright Side: The Dark Side",en,"Fuller, Maxwell; Hart, Michael, 1947-2011",Internet -- History; Computer networks -- United States -- History,TK,
251,Text,1995-04-01,1995 United States Congressional Address Book,en,United States,United States. Congress,JK,
252,Text,1995-04-01,"Copyright Law of the United States of America
Contained in Title 17 of the United States Code",en,Library of Congress. Copyright Office; United States,Copyright -- United States,KF,
253,Text,1995-04-01,The Universal Copyright Convention (1988),en,Coalition for Networked Information,"Copyright, International",JX,
254,Text,2008-07-09,"The Second Story of Meno
A Continuation of Socrates' Dialogue with Meno in Which the Boy Proves Root 2 is Irrational",en,Unknown,Mathematics,QA,
255,Text,1995-04-01,"QREAD, Etext Reader for Windows",en,"Scavezze, Dan",Electronic book readers,Z,
256,MovingImage,1995-05-01,Motion Picture of Rotating Earth,en,United States,World maps,G,
257,Text,1995-05-01,Troilus and Criseyde,en,"Chaucer, Geoffrey, 1343?-1400",Troilus (Legendary character) -- Poetry; Trojan War -- Poetry; Cressida (Fictitious character) -- Poetry; Troy (Extinct city) -- Poetry,PR,
258,Text,2008-06-29,Poems by Adam Lindsay Gordon,en,"Gordon, Adam Lindsay, 1833-1870; Clarke, Marcus Andrew Hislop, 1846-1881 [Editor]","Gordon, Adam Lindsay, 1833-1870; Australia -- Poetry",PR,
259,Text,2008-07-02,Ballads of a Cheechako,en,"Service, Robert W. (Robert William), 1874-1958",Frontier and pioneer life -- Yukon -- Poetry; Klondike River Valley (Yukon) -- Gold discoveries -- Poetry,PS,
260,Text,2008-07-05,An Introduction to the Study of Robert Browning's Poetry,en,"Browning, Robert, 1812-1889; Corson, Hiram, 1828-1911","Browning, Robert, 1812-1889; Browning, Robert, 1812-1889 -- Bibliography; Browning, Robert, 1812-1889 -- Criticism and interpretation",PR,
261,Text,2008-07-03,A Dome of Many-Coloured Glass,en,"Lowell, Amy, 1874-1925",American poetry,PS,Poetry
262,Text,1995-05-01,The Collected Poems of Rupert Brooke,en,"Brooke, Rupert, 1887-1915; Woodberry, George Edward, 1855-1930 [Author of introduction, etc.]; Lavington, Margaret [Contributor]","English poetry; Poets, English -- 20th century -- Biography; Brooke, Rupert, 1887-1915",PR,Poetry
263,Text,1995-05-01,"Trees, and Other Poems",en,"Kilmer, Joyce, 1886-1918","Poetry, Modern -- 20th century",PS,
264,Text,2008-07-09,"Main Street, and Other Poems",en,"Kilmer, Joyce, 1886-1918","City and town life -- Poetry; Poetry, Modern -- 20th century",PS,
265,Text,2008-07-03,The Life and Death of Cormac the Skald,en,"Collingwood, W. G. (William Gershom), 1854-1932 [Translator]; Jón Stefánsson, 1862- [Translator]","Kormákr Ögmundarson, approximately 935-970 -- Romances; Sagas -- Translations into English",PT,
266,Text,2008-07-03,"Confessio Amantis; Or, Tales of the Seven Deadly Sins",en,"Gower, John, 1325?-1408; Macaulay, G. C. (George Campbell), 1852-1915 [Editor]","Courtly love -- Poetry; Christian poetry, English (Middle); Love poetry, English (Middle); Christian ethics -- Poetry",PR,
267,Text,1995-05-01,The Touchstone,en,"Wharton, Edith, 1862-1937",Psychological fiction; Rejection (Psychology) -- Fiction; Married people -- Fiction; Triangles (Interpersonal relations) -- Fiction; Women novelists -- Fiction; Love-letters -- Fiction,PS,
268,Text,2008-07-11,The Octopus : A Story of California,en,"Norris, Frank, 1870-1902","Didactic fiction; Farm life -- Fiction; Mussel Slough Tragedy, 1880 -- Fiction; Wheat farmers -- Fiction; Farmers -- Fiction; San Joaquin Valley (Calif.) -- Fiction; California -- Fiction; Railroad stories",PS,
269,Text,1995-05-01,Beasts and Super-Beasts,en,"Saki, 1870-1916","Humorous stories; Supernatural -- Fiction; Short stories, English",PR,
270,Text,2008-07-03,Dream Days,en,"Grahame, Kenneth, 1859-1932",England -- Fiction; Siblings -- Fiction; Country life -- Fiction,PR,
271,Text,2006-01-16,Black Beauty,en,"Sewell, Anna, 1820-1878",Historical fiction; Horses -- Juvenile fiction; Human-animal relationships -- Juvenile fiction; Great Britain -- History -- 19th century -- Juvenile fiction,PR; PZ,Best Books Ever Listings; Children's Literature
272,Text,1995-06-01,An Open Letter on Translating,en,"Luther, Martin, 1483-1546; Mann, Gary [Translator]",Reformation -- Germany; Bible -- Translating,BR,Christianity
273,Text,1995-06-01,The Smalcald Articles,en,"Luther, Martin, 1483-1546; Bente, F. (Friedrich), 1858-1930 [Translator]; Dau, W. H. T. (William Herman Theodore), 1864-1944 [Translator]",Lutheran Church -- Doctrines -- Early works to 1800; Lutheran Church -- Relations -- Catholic Church -- Early works to 1800; Catholic Church -- Relations -- Lutheran Church -- Early works to 1800; Lutheran Church -- Creeds -- Early works to 1800,BX,Christianity
274,Text,1995-06-01,Disputation of Doctor Martin Luther on the Power and Efficacy of Indulgences,en,"Luther, Martin, 1483-1546",Indulgences; Reformation -- Germany -- Sources,BR,Christianity; Harvard Classics; Banned Books from Anne Haight's list
275,Text,2008-06-29,"The Augsburg Confession
The confession of faith, which was submitted to His Imperial Majesty Charles V at the diet of Augsburg in the year 1530",en,"Melanchthon, Philipp, 1497-1560","Lutheran Church -- Doctrines; Theology, Doctrinal",BX,
276,Text,1995-06-01,"Franz Haydn's 104th Symphony [1794-5]
MIDI file",en,"Haydn, Joseph, 1732-1809",Music,M,
277,Text,2008-06-29,Trinity Site,en,National Atomic Museum (U.S.),Manhattan Project (U.S.); Atomic bomb -- New Mexico -- Testing -- History,QC; U; D731,World War II
278,Text,2014-09-14,"Trinity Site: 1945-1995.
A National Historic Landmark, White Sands Missile Range, New Mexico",en,White Sands Missile Range (N.M.). Public Affairs Office,Manhattan Project (U.S.); Atomic bomb -- New Mexico -- Los Alamos -- Testing -- History,QC; U; D731,World War II
279,Text,2014-09-14,Photos and Maps of Trinity (Atomic Test) Site,en,White Sands Missile Range (N.M.). Public Affairs Office [Contributor],Manhattan Project (U.S.); Atomic bomb -- New Mexico -- Los Alamos -- Testing -- History,QC; U; D731,World War II
280,Text,1995-06-01,Records of a Family of Engineers,en,"Stevenson, Robert Louis, 1850-1894","Stevenson, Robert, 1772-1850; Stephenson family; Engineers -- Great Britain -- Biography; Bell Rock Lighthouse (Scotland); Lighthouses -- Scotland",TA,
281,Text,1995-06-01,Father Damien: An Open Letter to the Reverend Dr. Hyde of Honolulu,en,"Stevenson, Robert Louis, 1850-1894","Damien, Saint, Father, 1840-1889",BX,
282,Text,1995-06-01,"Eothen; Or, Traces of Travel Brought Home from the East",en,"Kinglake, Alexander William, 1809-1891","Middle East -- Description and travel; Kinglake, Alexander William, 1809-1891 -- Travel -- Middle East",DS,
283,Text,1995-06-01,The Reef,en,"Wharton, Edith, 1862-1937",Love stories; Domestic fiction; France -- Fiction; Man-woman relationships -- Fiction; Americans -- France -- Fiction,PS,
284,Text,1995-06-01,The House of Mirth,en,"Wharton, Edith, 1862-1937",New York (N.Y.) -- Fiction; Psychological fiction; Single women -- Fiction; Social classes -- Fiction,PS,"Bestsellers, American, 1895-1923"
285,Text,2008-07-09,The Lost Continent,en,"Hyne, Charles John Cutcliffe Wright, 1866-1944",Science fiction; Fantasy fiction; Atlantis (Legendary place) -- Fiction; Lost continents -- Fiction,PR,Science Fiction
286,Text,1995-06-01,Laddie: A True Blue Story,en,"Stratton-Porter, Gene, 1863-1924",Didactic fiction; Indiana -- Fiction,PS,"Bestsellers, American, 1895-1923"
287,Text,2008-06-29,Remember the Alamo,en,"Barr, Amelia E., 1831-1919","Texas -- History -- Revolution, 1835-1836 -- Fiction; Western stories; War stories; Alamo (San Antonio, Tex.) -- Siege, 1836 -- Fiction",PZ; PS,
288,Text,1995-07-01,The Certain Hour (Dizain des Poëtes),en,"Cabell, James Branch, 1879-1958",Short stories; Fantasy fiction,PS,Fantasy
289,Text,1995-07-01,The Wind in the Willows,en,"Grahame, Kenneth, 1859-1932",Fantasy fiction; Animals -- Fiction; Humorous stories; England -- Fiction; Friendship -- Fiction; Pastoral fiction; Country life -- Fiction; River life -- Fiction,PR; PZ,Best Books Ever Listings; Children's Literature
290,Text,1995-07-01,"The Stark Munro Letters
Being series of twelve letters written by J. Stark Munro, M.B., to his friend and former fellow-student, Herbert Swanborough, of Lowell, Massachusetts, during the years 1881-1884",en,"Doyle, Arthur Conan, 1859-1930",Epistolary fiction,PR,
291,Text,2008-07-03,The Golden Age,en,"Grahame, Kenneth, 1859-1932",England -- Fiction; Bildungsromans; Pastoral fiction; Siblings -- Fiction; Country life -- Fiction,PR,
292,Text,2008-06-29,"Beauty and the Beast, and Tales of Home",en,"Taylor, Bayard, 1825-1878",Short stories; United States -- Social life and customs -- 19th century -- Fiction,PS,
293,Text,2006-03-15,Paul Prescott's Charge,en,"Alger, Horatio, Jr., 1832-1899",Orphans -- Fiction; Runaway teenagers -- Fiction; Conduct of life -- Fiction; New York (N.Y.) -- History -- 19th century -- Fiction,PZ; PS,Children's Fiction
294,Text,1995-07-01,"The Captain of the Polestar, and Other Tales",en,"Doyle, Arthur Conan, 1859-1930","Great Britain -- Social life and customs -- 19th century -- Fiction; Short stories, English",PR,
295,Text,1995-07-01,The Early Short Fiction of Edith Wharton — Part 1,en,"Wharton, Edith, 1862-1937","Fiction; Short stories, American",PS,
296,Text,2006-03-15,The Cash Boy,en,"Alger, Horatio, Jr., 1832-1899",Adoptees -- Juvenile fiction; Orphans -- Juvenile fiction; Didactic fiction; Baseball -- Juvenile fiction; Adventure stories; Boys -- Juvenile fiction,PZ; PS,Children's Fiction
297,Text,1995-07-01,The Flirt,en,"Tarkington, Booth, 1869-1946",Young women -- Fiction; Swindlers and swindling -- Fiction; Courtship -- Fiction; Forgery -- Fiction,PS,
298,Text,2008-07-09,The Market-Place,en,"Frederic, Harold, 1856-1898",England -- Fiction; Swindlers and swindling -- Fiction; Nobility -- Fiction; Capitalists and financiers -- Fiction; Stock exchanges -- Fiction; Jews -- Fiction,PS,"Bestsellers, American, 1895-1923"
299,Text,1995-07-01,Tales from Two Hemispheres,en,"Boyesen, Hjalmar Hjorth, 1848-1895",Short stories; Norwegian Americans -- Fiction,PS,
300,Text,1995-07-01,United States Declaration of Independence,en,"Jefferson, Thomas, 1743-1826","United States -- History -- Revolution, 1775-1783 -- Sources",E201; JK,Politics
301,Text,1995-07-01,The Ballad of Reading Gaol,en,"Wilde, Oscar, 1854-1900",Imprisonment -- Poetry; Prisoners -- Poetry; Prisons -- Poetry,PR,
302,Text,1995-07-01,The Fibonacci Number Series,en,"Husted, Michael",Mathematics; Fibonacci numbers,QA,Mathematics
303,Text,1995-07-01,HomeBrew HomePages Put YOU on the World Wide Web,en,Anonymous,World Wide Web,TK,
304,Text,1995-08-01,"Rio Grande's Last Race, and Other Verses",en,"Paterson, A. B. (Andrew Barton), 1864-1941",Australian poetry,PR,Australia
305,Text,2008-07-02,The Count's Millions,en,"Gaboriau, Emile, 1832-1873",Fiction; Detective and mystery stories,PQ,Detective Fiction
306,Text,1995-08-01,The Early Short Fiction of Edith Wharton — Part 2,en,"Wharton, Edith, 1862-1937","Fiction; Short stories, American",PS,
307,Text,2008-06-29,"Three Elephant Power, and Other Stories",en,"Paterson, A. B. (Andrew Barton), 1864-1941","Frontier and pioneer life -- Australia -- Fiction; Short stories, Australian; Australia -- Social life and customs -- Fiction",PR,Australia
308,Text,1995-08-01,Three Men in a Boat (To Say Nothing of the Dog),en,"Jerome, Jerome K. (Jerome Klapka), 1859-1927","Young men -- Travel -- England -- Thames River -- Fiction; Boats and boating -- England -- Thames River -- Fiction; Dogs -- Fiction; Humorous stories, English; Thames River (England) -- Fiction; Male friendship -- Fiction",PR,Best Books Ever Listings; Humor
309,Text,1995-08-01,Rhymes of a Rolling Stone,en,"Service, Robert W. (Robert William), 1874-1958",Poetry,PS,
310,Text,2008-06-29,Before Adam,en,"London, Jack, 1876-1916",Fantasy fiction; Prehistoric peoples -- Fiction; Dreams -- Fiction,PS,
311,Text,2008-07-02,Bunner Sisters,en,"Wharton, Edith, 1862-1937",New York (N.Y.) -- Social life and customs -- 19th century -- Fiction,PS,
312,Text,1995-08-01,Young Adventure: A Book of Poems,en,"Benét, Stephen Vincent, 1898-1943",American poetry,PS,
313,Text,2008-07-02,Children of the Night,en,"Robinson, Edwin Arlington, 1869-1935",Poetry,PS,
314,Text,1995-08-01,"Guide to Life and Literature of the Southwest, with a Few Observations",en,"Dobie, J. Frank (James Frank), 1888-1964","Southwest, New -- Bibliography",Z,
315,Text,1995-08-01,Rhymes of a Red Cross Man,en,"Service, Robert W. (Robert William), 1874-1958","World War, 1914-1918 -- Poetry",PS,"Bestsellers, American, 1895-1923"
316,Text,2008-07-05,The Golden Road,en,"Montgomery, L. M. (Lucy Maud), 1874-1942","Prince Edward Island -- Juvenile fiction; Friendship -- Juvenile fiction; Children's stories, Canadian; Authorship -- Juvenile fiction; Publishers and publishing -- Juvenile fiction",PZ; PS,Children's Literature; Canada
317,Text,1995-08-01,"The Culprit Fay, and Other Poems",en,"Drake, Joseph Rodman, 1795-1820",American poetry -- 19th century; Fairies -- Poetry; New York (State) -- Poetry,PS,
318,Text,1995-08-01,John Barleycorn,en,"London, Jack, 1876-1916","London, Jack, 1876-1916; Authors, American -- 20th century -- Biography; Alcoholics -- United States -- Biography; Drinking of alcoholic beverages -- United States",PS,
319,Text,1995-08-01,The Ways of Men,en,"Gregory, Eliot, 1854-1915",American essays -- 19th century,PS,
320,Text,1995-09-01,Vida De Lazarillo De Tormes Y De Sus Fortunas Y Adversidades,es,Anonymous,"Spanish fiction; Spain -- Social conditions -- 16th century -- Fiction; Picaresque literature, Spanish",PQ,6 Best Loved Spanish Literary Classics
321,Text,2008-07-09,Moran of the Lady Letty,en,"Norris, Frank, 1870-1902",Sea stories; Adventure stories; California -- Fiction,PS,
322,Text,1995-09-01,St. Ives: Being the Adventures of a French Prisoner in England,en,"Stevenson, Robert Louis, 1850-1894",Prisoners of war -- Fiction; French -- England -- Fiction,PR,Historical Fiction
323,Text,2008-06-29,Verses 1889-1896,en,"Kipling, Rudyard, 1865-1936",Poetry; India -- Poetry,PR,
324,Text,2008-07-09,A Knight of the Cumberland,en,"Fox, John, Jr., 1862-1919",Historical fiction; Country life -- Fiction; Kentucky -- Fiction,PS,
325,Text,2008-07-11,Phantastes: A Faerie Romance for Men and Women,en,"MacDonald, George, 1824-1905",Fantasy fiction,PR,
326,Text,1995-09-01,Steep Trails,en,"Muir, John, 1838-1914; Badè, William Frederic, 1871-1936 [Editor]","West (U.S.) -- Description and travel; Shasta, Mount (Calif. : Mountain); Forests and forestry -- West (U.S.)",F590.3,
327,Text,1995-09-01,The Princess Aline,en,"Davis, Richard Harding, 1864-1916",Young men -- Fiction; Princesses -- Fiction,PS,"Bestsellers, American, 1895-1923"
328,Text,1995-09-01,A Heap o' Livin',en,"Guest, Edgar A. (Edgar Albert), 1881-1959",Poetry,PS,
329,Text,1995-09-01,Island Nights' Entertainments,en,"Stevenson, Robert Louis, 1850-1894",Short stories; Islands of the Pacific -- Fiction,PR,
330,Text,2006-03-15,Where There's a Will,en,"Rinehart, Mary Roberts, 1876-1958",Humorous stories; Detective and mystery stories; Love stories; Man-woman relationships -- Fiction; Health resorts -- Fiction; Impersonation -- Fiction,PS,
331,Text,1995-09-01,The Mucker,en,"Burroughs, Edgar Rice, 1875-1950",Adventure stories; American fiction -- 20th century,PS,
332,Text,2008-07-02,The Burial of the Guns,en,"Page, Thomas Nelson, 1853-1922",Short stories; United States -- Social life and customs -- 19th century -- Fiction,PS,US Civil War
333,Text,1995-09-01,Robert Louis Stevenson,en,"Raleigh, Walter Alexander, Sir, 1861-1922","Stevenson, Robert Louis, 1850-1894; Authors, Scottish -- 19th century -- Biography",PR,
334,Text,1995-09-01,Episodes in Van Bibber's Life,en,"Davis, Richard Harding, 1864-1916","Fiction; Short stories, American",PS,
335,Text,1995-09-01,Frances Waldeaux: A Novel,en,"Davis, Rebecca Harding, 1831-1910",Voyages and travels -- Fiction,PS,
336,Text,2008-07-05,Indian Heroes and Great Chieftains,en,"Eastman, Charles A., 1858-1939",Heroes; Indians of North America -- Biography; Dakota Indians -- Biography,E011,Native America
337,Text,2008-07-05,Indian Boyhood,en,"Eastman, Charles A., 1858-1939","Indians of North America -- Biography; Indian children -- North America; Eastman, Charles Alexander, 1858-1939 -- Childhood and youth; Santee Indians -- Social life and customs; Santee Indians -- Biography",E011,Native America
338,Text,2008-07-05,Old Indian Legends,en,"Zitkala-Sa, 1876-1938",Dakota Indians -- Folklore,E011,Native America
339,Text,2008-07-05,Old Indian Days,en,"Eastman, Charles A., 1858-1939",Indians of North America -- Fiction; Dakota Indians -- Fiction,PS,Native America
340,Text,2008-07-05,The Soul of the Indian: An Interpretation,en,"Eastman, Charles A., 1858-1939",Indians of North America -- Religion; Indian mythology -- North America; Indian philosophy -- North America,E011,Native America
341,Text,1995-10-01,Myths and Legends of the Sioux,en,"McLaughlin, Marie L., 1842-",Mdewakanton Indians -- Folklore; Dakota Indians -- Folklore,E011,Folklore; Native America
342,Text,1995-10-01,Margaret Ogilvy,en,"Barrie, J. M. (James Matthew), 1860-1937","Barrie, Margaret Ogilvy",DA,"Bestsellers, American, 1895-1923"
343,Text,1995-10-01,Fables,en,"Stevenson, Robert Louis, 1850-1894","Fiction; Short stories; Fables, Scottish",PR,
344,Text,1995-10-01,"The Merry Men, and Other Tales and Fables",en,"Stevenson, Robert Louis, 1850-1894",Boys -- Fiction; Treasure troves -- Fiction; Paranormal fiction; Great Britain -- History -- 19th century -- Fiction,PR,
345,Text,1995-10-01,Dracula,en,"Stoker, Bram, 1847-1912","Horror tales; Epistolary fiction; Gothic fiction; Vampires -- Fiction; Dracula, Count (Fictitious character) -- Fiction; Transylvania (Romania) -- Fiction; Whitby (England) -- Fiction",PR,Horror; Gothic Fiction; Mystery Fiction; Movie Books
346,Text,1995-10-01,"The Troll Garden, and Selected Stories",en,"Cather, Willa, 1873-1947",Short stories; United States -- Social life and customs -- Fiction; Man-woman relationships -- Fiction; Nebraska -- Social life and customs -- Fiction,PS,
347,Text,2008-07-05,The Saga of Grettir the Strong: Grettir's Saga,en,Unknown,"Sagas -- Translations into English; Vikings -- Fiction; Grettir Ásmundarson, 996-1031 -- Fiction",PT,
348,Text,2008-07-05,"Hesiod, the Homeric Hymns, and Homerica",en,"Hesiod; Evelyn-White, Hugh G. (Hugh Gerard), 1884-1924 [Translator]","Epic poetry, Greek; Epic poetry, Greek -- Translations into English; Hesiod -- Translations into English; Gods, Greek -- Poetry; Hymns, Greek (Classical) -- Translations into English",PA,Classical Antiquity
349,Text,1995-10-01,The Harvester,en,"Stratton-Porter, Gene, 1863-1924",Herbalists -- Fiction; Didactic fiction; Indiana -- Fiction,PS,"Bestsellers, American, 1895-1923"
350,Text,2008-07-03,Fanny Herself,en,"Ferber, Edna, 1885-1968",Autobiographical fiction; Domestic fiction; Bildungsromans; Mothers and daughters -- Fiction; Jewish fiction; Jewish families -- Fiction; Jewish girls -- Fiction; Wisconsin -- Fiction,PS,
351,Text,1995-10-01,Of Human Bondage,en,"Maugham, W. Somerset (William Somerset), 1874-1965",Orphans -- Fiction; People with disabilities -- Fiction; Physicians -- Fiction; Bildungsromans; Artists -- Fiction,PR,
352,Text,1995-11-01,Buttered Side Down: Stories,en,"Ferber, Edna, 1885-1968",Short stories; United States -- Social life and customs -- 20th century -- Fiction,PS,
353,Text,2008-07-05,"In Flanders Fields, and Other Poems",en,"McCrae, John, 1872-1918; Macphail, Andrew, 1864-1938 [Contributor]","World War, 1914-1918 -- Poetry; Patriotic poetry; English poetry; McCrae, John, 1872-1918",PR,"World War I; Bestsellers, American, 1895-1923"
354,Text,1995-11-01,The Story of a Pioneer,en,"Jordan, Elizabeth Garver, 1867-1947; Shaw, Anna Howard, 1847-1919","Shaw, Anna Howard, 1847-1919; Women -- Suffrage -- United States; Women social reformers -- United States -- Biography; Women's rights -- United States",JK,
355,Text,1995-11-01,The Parasite: A Story,en,"Doyle, Arthur Conan, 1859-1930",Horror tales; Mesmerism -- Fiction,PR,
356,Text,2008-07-02,Beyond the City,en,"Doyle, Arthur Conan, 1859-1930",Suburbs -- Great Britain -- Fiction,PR,
357,Text,1995-11-01,"A Dream of John Ball; and, A King's Lesson",en,"Morris, William, 1834-1896","Historical fiction; Ball, John, -1381 -- Fiction; Tyler's Insurrection, 1381 -- Fiction; Matthias I, King of Hungary, 1443-1490 -- Fiction; Peasant uprisings -- Fiction",PR,
358,Text,1995-11-01,The Scarlet Car,en,"Davis, Richard Harding, 1864-1916",Humorous stories; Love stories; Automobiles -- Fiction; Automobile driving -- Fiction,PS,
359,Text,1995-11-01,"Good Stories for Great Holidays
Arranged for Story-Telling and Reading Aloud and for the Children's Own Reading",en,"Olcott, Frances Jenkins, 1872-1963",Children's literature; Holidays; Short stories; Storytelling,PZ,
360,Text,1995-11-01,What is Property? An Inquiry into the Principle of Right and of Government,en,"Proudhon, P.-J. (Pierre-Joseph), 1809-1865",Economics; Property,HB,Anarchism
361,Text,2008-07-11,Miss Billy — Married,en,"Porter, Eleanor H. (Eleanor Hodgman), 1868-1920",Domestic fiction; Married women -- Fiction; Marriage -- Fiction,PS,
362,Text,2008-07-11,Miss Billy's Decision,en,"Porter, Eleanor H. (Eleanor Hodgman), 1868-1920",Love stories; Man-woman relationships -- Fiction,PS,
363,Text,2008-07-11,The Oakdale Affair,en,"Burroughs, Edgar Rice, 1875-1950",Adventure stories; Mystery fiction,PS,
364,Text,1995-11-01,The Mad King,en,"Burroughs, Edgar Rice, 1875-1950",Fantasy fiction; Impostors and imposture -- Fiction; Adventure stories; Kings and rulers -- Fiction; Mistaken identity -- Fiction,PS,
365,Text,2008-07-09,The Land of Little Rain,en,"Austin, Mary, 1868-1934","California -- Social life and customs; Natural history -- California; California -- Description and travel; Frontier and pioneer life -- California; California -- History, Local",F850.5,
366,Text,2006-03-15,Bab: A Sub-Deb,en,"Rinehart, Mary Roberts, 1876-1958",Debutantes -- Fiction,PS,
