Text#,Type,Issued,Title,Language,Authors,Subjects,LoCC,Bookshelves
875,Text,1997-04-01,The Duchess of Padua,en,"Wilde, Oscar, 1854-1900",Tragedies; Revenge -- Drama; Padua (Italy) -- Drama; English drama -- 19th century,PR,
876,Text,1997-04-01,"Life in the Iron-Mills; Or, The Korl Woman",en,"Davis, Rebecca Harding, 1831-1910",Women iron and steel workers -- Fiction; Feminism -- Fiction,PS,
877,Text,2006-02-05,Little Britain,en,"Irving, Washington, 1783-1859",Short stories; London (England) -- Fiction,PS,
878,Text,1997-04-01,Yankee Gypsies,en,"Whittier, John Greenleaf, 1807-1892",Tramps -- New England,PS,
879,Text,1997-04-01,The Boy Captives: An Incident of the Indian War of 1695,en,"Whittier, John Greenleaf, 1807-1892",Indian captivities; Haverhill (Mass.) -- History,F001,
880,Text,1997-04-01,My Garden Acquaintance,en,"Lowell, James Russell, 1819-1891",Essays; Natural history,QH; PS,
881,Text,1997-04-01,Lemorne Versus Huell,en,"Stoddard, Elizabeth, 1823-1902",Short stories; Young women -- Fiction; United States -- Social life and customs -- 19th century -- Fiction; Lawsuits -- Fiction; Aunts -- Fiction,PS,
882,Text,1997-04-01,"Sketches by Boz, Illustrative of Every-Day Life and Every-Day People",en,"Dickens, Charles, 1812-1870",London (England) -- Social life and customs -- 19th century -- Fiction; London (England) -- Social life and customs -- 19th century,PR,
883,Text,2006-04-27,Our Mutual Friend,en,"Dickens, Charles, 1812-1870",Satire; London (England) -- Fiction; Inheritance and succession -- Fiction; Love stories; Poor families -- Fiction; Social classes -- Fiction; Deception -- Fiction,PR,
884,Text,1997-04-01,Memoirs of Extraordinary Popular Delusions — Volume 3,en,"Mackay, Charles, 1814-1889",Social psychology; Swindlers and swindling; Impostors and imposture; Alchemy; Delusions; Occultism -- Early works to 1900; Investments -- Psychological aspects; Stock exchanges -- Psychological aspects; Hallucinations and illusions; Common fallacies,AZ,Psychology
885,Text,1997-04-01,An Ideal Husband,en,"Wilde, Oscar, 1854-1900",Comedies; London (England) -- Drama,PR,Plays
886,Text,1997-04-01,Letters from the Cape,en,"Duff Gordon, Lucie, Lady, 1821-1869",Cape of Good Hope (South Africa) -- Description and travel,DT,
887,Text,1997-04-01,Intentions,en,"Wilde, Oscar, 1854-1900","Authors, English -- 19th century -- Biography; Authorship; English drama; Authors, English -- 19th century -- Drama; Art critics -- Great Britain -- Biography; Wainewright, Thomas Griffiths, 1794-1847; Poisoners -- Great Britain -- Biography",PR,Contemporary Reviews
888,Text,1997-04-01,The Lazy Tour of Two Idle Apprentices,en,"Collins, Wilkie, 1824-1889; Dickens, Charles, 1812-1870",Apprentices -- Fiction; Walking -- England -- Cumbria -- Fiction; Cumbria (England) -- Description and travel -- Fiction,PR,
889,Text,1997-04-01,Two Years in the Forbidden City,en,"Der Ling, Princess, 1886-1944","Cixi, Empress dowager of China, 1835-1908 -- Anecdotes; Empresses -- China -- Anecdotes; China -- Court and courtiers -- Anecdotes",DS,
890,Text,2008-06-07,History of the Decline and Fall of the Roman Empire — Volume 1,en,"Gibbon, Edward, 1737-1794; Milman, Henry Hart, 1791-1868 [Commentator]","Rome -- History -- Empire, 30 B.C.-476 A.D.; Byzantine Empire -- History -- To 527",DG,
891,Text,2008-06-07,History of the Decline and Fall of the Roman Empire — Volume 2,en,"Gibbon, Edward, 1737-1794; Milman, Henry Hart, 1791-1868 [Commentator]","Rome -- History -- Empire, 30 B.C.-476 A.D.; Byzantine Empire -- History -- To 527",DG,
892,Text,2008-06-07,History of the Decline and Fall of the Roman Empire — Volume 3,en,"Gibbon, Edward, 1737-1794; Milman, Henry Hart, 1791-1868 [Commentator]","Rome -- History -- Empire, 30 B.C.-476 A.D.; Byzantine Empire -- History -- To 527",DG,
893,Text,2008-06-07,History of the Decline and Fall of the Roman Empire — Volume 4,en,"Gibbon, Edward, 1737-1794; Milman, Henry Hart, 1791-1868 [Commentator]","Rome -- History -- Empire, 30 B.C.-476 A.D.; Byzantine Empire -- History -- To 527",DG,
894,Text,2008-06-07,History of the Decline and Fall of the Roman Empire — Volume 5,en,"Gibbon, Edward, 1737-1794; Milman, Henry Hart, 1791-1868 [Commentator]","Rome -- History -- Empire, 30 B.C.-476 A.D.; Byzantine Empire -- History -- To 527",DG,
895,Text,2008-06-07,History of the Decline and Fall of the Roman Empire — Volume 6,en,"Gibbon, Edward, 1737-1794; Milman, Henry Hart, 1791-1868 [Commentator]","Rome -- History -- Empire, 30 B.C.-476 A.D.; Byzantine Empire -- History -- To 527",DG,
896,Text,1997-04-01,"The Jubilee of the Constitution
Delivered at New York, April 30, 1839, Before the New York Historical Society",en,"Adams, John Quincy, 1767-1848","United States -- Politics and government -- 1775-1783; United States -- Politics and government -- 1783-1789; Washington, George, 1732-1799 -- Anniversaries, etc.; United States. Constitution",E300; JK,
897,Text,2006-02-05,The Rose and the Ring,en,"Thackeray, William Makepeace, 1811-1863",Fairy tales; Children's stories,PR; PZ,
898,Text,1997-05-01,The Lesson of the Master,en,"James, Henry, 1843-1916",Authors -- Fiction; Psychological fiction; Young men -- Fiction; Mentoring of authors -- Fiction,PS,
899,Text,1997-05-01,"Wonderful Balloon Ascents; Or, The Conquest of the Skies
A History of Balloons and Balloon Voyages",en,"Marion, Fulgence",Balloons; Balloon ascensions,TL,
900,Text,1997-05-01,History of the Decline and Fall of the Roman Empire — Volume 3 — Folio format,en,"Gibbon, Edward, 1737-1794","Rome -- History -- Empire, 30 B.C.-476 A.D.; Byzantine Empire -- History -- To 527",DG,
901,Text,1997-05-01,The Jew of Malta,en,"Marlowe, Christopher, 1564-1593",Tragedies; Jews -- Malta -- Drama,PR,
902,Text,1997-05-01,"The Happy Prince, and Other Tales",en,"Wilde, Oscar, 1854-1900","Fairy tales; Children's stories, English; Short stories, English",PR; PZ,Children's Literature
903,Text,1997-05-01,The White Company,en,"Doyle, Arthur Conan, 1859-1930","Historical fiction; Hundred Years' War, 1339-1453 -- Fiction; Knights and knighthood -- Fiction; Middle Ages -- Fiction; Archers -- Fiction; War stories; British -- France -- Fiction",PR,Historical Fiction
904,Text,1997-05-01,Her Father's Daughter,en,"Stratton-Porter, Gene, 1863-1924",Sisters -- Fiction; Friendship -- Fiction; Adventure and adventurers -- Fiction; California -- Fiction; Racism -- Fiction; Interpersonal relations -- Fiction,PS,"Bestsellers, American, 1895-1923"
905,Text,1997-05-01,Within the Law: From the Play of Bayard Veiller,en,"Dana, Marvin, 1867-1926; Veiller, Bayard, 1869-1943",Detective and mystery stories; Revenge -- Fiction,PS,
906,Text,1997-05-01,Abraham Lincoln,en,"Lowell, James Russell, 1819-1891","Lincoln, Abraham, 1809-1865; United States -- History -- Civil War, 1861-1865",E456,
907,Text,1997-05-01,"Flying Machines: Construction and Operation
A Practical Book Which Shows, in Illustrations, Working Plans and Text, How to Build and Navigate the Modern Airship",en,"Chanute, Octave, 1832-1910; Jackman, William J. (William James), 1850-; Russell, Thomas Herbert, 1862-1947",Aeronautics; Flying-machines,TL,
908,Text,2006-03-22,Treatise on Parents and Children,en,"Shaw, Bernard, 1856-1950",Essays; Parent and child,HQ,
909,Text,2006-02-05,"The Adventures of Col. Daniel Boon
Containing a Narrative of the Wars of Kentucke",en,"Filson, John, 1747?-1788","Boone, Daniel, 1734-1820; Kentucky -- History -- To 1792; Indian captivities -- Kentucky; Pioneers -- Kentucky -- Biography",F396,
910,Text,1997-05-01,White Fang,en,"London, Jack, 1876-1916","Wolfdogs -- Fiction; Adventure stories; Canada, Northern -- Fiction",PS,Movie Books; Adventure
911,Text,1997-05-01,Tales of the Fish Patrol,en,"London, Jack, 1876-1916",Short stories; Immigrants -- Fiction; Fishers -- Fiction; Fishing villages -- Fiction; San Francisco Bay Area (Calif.) -- Fiction,PS,
912,Text,1997-05-01,Mudfog and Other Sketches,en,"Dickens, Charles, 1812-1870",England -- Social life and customs -- 19th century -- Fiction,PR,
913,Text,1997-05-01,A Hero of Our Time,en,"Lermontov, Mikhail Iurevich, 1814-1841; Murray, Marr [Translator]; Wisdom, J. H. [Translator]","Psychological fiction; Caucasus -- Fiction; Russia -- Social life and customs -- 1533-1917 -- Fiction; Russia -- History, Military -- 1801-1917 -- Fiction",PG,
914,Text,1997-05-01,The Uncommercial Traveller,en,"Dickens, Charles, 1812-1870",Great Britain -- Social conditions -- 19th century; London (England) -- Description and travel,PR,
